timestamp,frame_number,time_seconds,object_class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_center_x,bbox_center_y
2025-10-09 14:43:28,4,0.14,person,0.518,791.7,237.5,809.0,293.8,17.4,56.3,800.3,265.7
2025-10-09 14:43:28,4,0.14,person,0.507,753.7,232.5,774.0,291.4,20.3,58.9,763.8,261.9
2025-10-09 14:43:28,5,0.17,car,0.914,195.5,238.5,394.7,340.7,199.1,102.1,295.1,289.6
2025-10-09 14:43:28,5,0.17,car,0.887,468.8,247.8,564.4,305.9,95.6,58.1,516.6,276.9
2025-10-09 14:43:28,5,0.17,car,0.84,0.5,230.0,135.7,328.5,135.2,98.5,68.1,279.2
2025-10-09 14:43:28,5,0.17,car,0.793,554.0,247.9,619.1,300.4,65.0,52.5,586.6,274.2
2025-10-09 14:43:28,5,0.17,car,0.777,154.5,237.5,282.8,301.0,128.2,63.5,218.6,269.3
2025-10-09 14:43:28,5,0.17,car,0.763,0.1,260.3,42.0,384.6,41.9,124.3,21.0,322.5
2025-10-09 14:43:28,5,0.17,car,0.643,400.8,249.5,459.0,289.9,58.2,40.5,429.9,269.7
2025-10-09 14:43:28,5,0.17,car,0.639,615.7,256.6,662.1,296.8,46.4,40.1,638.9,276.7
2025-10-09 14:43:28,5,0.17,traffic light,0.624,689.2,142.7,707.5,178.8,18.3,36.1,698.4,160.7
2025-10-09 14:43:28,5,0.17,car,0.577,438.5,246.3,504.4,298.8,65.9,52.5,471.5,272.5
2025-10-09 14:43:28,5,0.17,person,0.554,822.7,236.1,841.2,295.4,18.5,59.2,831.9,265.8
2025-10-09 14:43:28,5,0.17,person,0.527,791.6,238.3,809.0,293.9,17.5,55.6,800.3,266.1
2025-10-09 14:43:28,5,0.17,car,0.511,346.6,228.5,405.4,294.8,58.8,66.3,376.0,261.6
2025-10-09 14:43:28,6,0.21,car,0.918,187.8,238.2,389.9,341.3,202.1,103.2,288.8,289.7
2025-10-09 14:43:28,6,0.21,car,0.892,465.8,247.7,564.4,306.1,98.6,58.4,515.1,276.9
2025-10-09 14:43:28,6,0.21,car,0.888,0.0,229.4,131.7,329.4,131.7,100.0,65.9,279.4
2025-10-09 14:43:28,6,0.21,car,0.825,554.5,247.6,618.9,300.3,64.4,52.7,586.7,274.0
2025-10-09 14:43:28,6,0.21,car,0.717,399.1,249.0,457.3,291.6,58.2,42.6,428.2,270.3
2025-10-09 14:43:28,6,0.21,car,0.705,146.6,238.3,276.1,301.5,129.5,63.3,211.3,269.9
2025-10-09 14:43:28,6,0.21,car,0.649,615.4,256.5,662.8,297.1,47.5,40.6,639.1,276.8
2025-10-09 14:43:28,6,0.21,car,0.633,344.7,228.4,405.6,298.9,60.9,70.5,375.1,263.7
2025-10-09 14:43:28,6,0.21,traffic light,0.629,689.2,142.7,707.4,178.8,18.2,36.1,698.3,160.8
2025-10-09 14:43:28,6,0.21,car,0.61,436.8,246.1,504.4,298.6,67.6,52.6,470.6,272.3
2025-10-09 14:43:28,6,0.21,car,0.589,0.1,270.4,30.8,379.3,30.8,108.9,15.5,324.8
2025-10-09 14:43:28,6,0.21,person,0.572,822.6,235.8,841.2,295.4,18.5,59.6,831.9,265.6
2025-10-09 14:43:28,6,0.21,person,0.558,791.3,238.4,809.2,294.1,17.8,55.6,800.2,266.3
2025-10-09 14:43:28,6,0.21,car,0.555,146.4,241.2,234.0,301.2,87.7,60.0,190.2,271.2
2025-10-09 14:43:28,6,0.21,person,0.517,753.6,232.4,773.9,291.4,20.3,59.0,763.7,261.9
2025-10-09 14:43:28,7,0.24,car,0.902,182.3,236.7,383.9,342.0,201.6,105.3,283.1,289.4
2025-10-09 14:43:28,7,0.24,car,0.894,465.5,247.5,564.0,305.7,98.5,58.2,514.8,276.6
2025-10-09 14:43:28,7,0.24,car,0.892,0.1,228.7,126.6,330.8,126.5,102.2,63.3,279.8
2025-10-09 14:43:28,7,0.24,car,0.845,554.7,247.8,618.8,300.3,64.1,52.5,586.8,274.0
2025-10-09 14:43:28,7,0.24,car,0.732,397.0,249.8,456.8,293.6,59.8,43.8,426.9,271.7
2025-10-09 14:43:28,7,0.24,car,0.704,143.7,237.5,271.4,302.1,127.7,64.6,207.5,269.8
2025-10-09 14:43:28,7,0.24,car,0.688,342.9,227.6,403.5,302.3,60.6,74.7,373.2,265.0
2025-10-09 14:43:28,7,0.24,car,0.662,614.9,256.5,665.6,297.6,50.7,41.1,640.2,277.0
2025-10-09 14:43:28,7,0.24,car,0.653,144.8,240.6,234.3,301.6,89.6,61.0,189.6,271.1
2025-10-09 14:43:28,7,0.24,traffic light,0.631,689.2,142.8,707.4,178.8,18.2,36.0,698.3,160.8
2025-10-09 14:43:28,7,0.24,car,0.628,437.7,245.7,505.3,299.1,67.6,53.4,471.5,272.4
2025-10-09 14:43:28,7,0.24,person,0.578,822.6,235.4,841.2,295.3,18.6,59.9,831.9,265.4
2025-10-09 14:43:28,7,0.24,person,0.548,791.3,238.2,809.2,294.1,17.9,55.9,800.2,266.2
2025-10-09 14:43:28,7,0.24,person,0.533,753.7,232.6,773.9,291.2,20.2,58.6,763.8,261.9
2025-10-09 14:43:28,8,0.28,car,0.91,177.2,237.4,379.3,342.6,202.1,105.2,278.2,290.0
2025-10-09 14:43:28,8,0.28,car,0.885,0.0,227.0,122.1,332.7,122.1,105.7,61.1,279.9
2025-10-09 14:43:28,8,0.28,car,0.879,464.6,247.5,563.7,305.9,99.1,58.4,514.1,276.7
2025-10-09 14:43:28,8,0.28,car,0.828,552.6,247.5,619.1,301.1,66.5,53.6,585.9,274.3
2025-10-09 14:43:28,8,0.28,car,0.765,395.2,249.7,454.7,294.7,59.5,45.0,425.0,272.2
2025-10-09 14:43:28,8,0.28,car,0.746,138.0,235.0,277.6,302.8,139.5,67.8,207.8,268.9
2025-10-09 14:43:28,8,0.28,car,0.68,614.5,256.6,668.5,297.9,54.0,41.3,641.5,277.3
2025-10-09 14:43:28,8,0.28,traffic light,0.62,689.1,142.8,707.4,179.0,18.2,36.3,698.3,160.9
2025-10-09 14:43:28,8,0.28,car,0.603,137.2,239.5,220.3,302.9,83.1,63.5,178.8,271.2
2025-10-09 14:43:28,8,0.28,car,0.6,435.3,246.3,501.5,298.9,66.1,52.6,468.4,272.6
2025-10-09 14:43:28,8,0.28,person,0.583,822.5,235.2,841.1,295.4,18.6,60.2,831.8,265.3
2025-10-09 14:43:28,8,0.28,person,0.567,791.1,238.9,809.1,294.1,18.0,55.2,800.1,266.5
2025-10-09 14:43:28,8,0.28,car,0.553,341.3,227.4,401.9,302.9,60.6,75.5,371.6,265.2
2025-10-09 14:43:28,8,0.28,person,0.542,753.7,232.8,773.9,291.0,20.2,58.2,763.8,261.9
2025-10-09 14:43:28,9,0.31,car,0.927,171.9,237.1,374.8,343.7,202.8,106.6,273.3,290.4
2025-10-09 14:43:28,9,0.31,car,0.883,0.0,227.7,116.7,333.1,116.7,105.5,58.3,280.4
2025-10-09 14:43:28,9,0.31,car,0.848,465.8,246.8,562.7,305.9,96.9,59.2,514.2,276.4
2025-10-09 14:43:28,9,0.31,car,0.804,551.6,247.6,618.9,301.0,67.3,53.4,585.3,274.3
2025-10-09 14:43:28,9,0.31,car,0.728,614.3,256.6,670.7,298.0,56.4,41.4,642.5,277.3
2025-10-09 14:43:28,9,0.31,car,0.698,395.0,248.6,449.9,295.1,55.0,46.5,422.5,271.9
2025-10-09 14:43:28,9,0.31,car,0.683,290.9,222.8,399.0,305.2,108.1,82.5,344.9,264.0
2025-10-09 14:43:28,9,0.31,car,0.654,434.9,246.4,500.5,298.7,65.6,52.3,467.7,272.5
